state_number,state_name,consecutive_number,number_of_vehicle_forms_submitted_all,number_of_motor_vehicles_in_transport_mvit,number_of_parked_working_vehicles,number_of_forms_submitted_for_persons_not_in_motor_vehicles,number_of_persons_not_in_motor_vehicles_in_transport_mvit,number_of_persons_in_motor_vehicles_in_transport_mvit,number_of_forms_submitted_for_persons_in_motor_vehicles,county,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,minute_of_crash,national_highway_system,land_use,land_use_name,functional_system,functional_system_name,ownership,ownership_name,route_signing,route_signing_name,trafficway_identifier,trafficway_identifier_2,milepoint,latitude,longitude,special_jurisdiction,special_jurisdiction_name,first_harmful_event,first_harmful_event_name,manner_of_collision,manner_of_collision_name,relation_to_junction_within_interchange_area,relation_to_junction_specific_location,relation_to_junction_specific_location_name,type_of_intersection,work_zone,relation_to_trafficway,relation_to_trafficway_name,light_condition,light_condition_name,atmospheric_conditions_1,atmospheric_conditions_1_name,atmospheric_conditions_2,atmospheric_conditions_2_name,atmospheric_conditions,atmospheric_conditions_name,school_bus_related,rail_grade_crossing_identifier,hour_of_notification,minute_of_notification,hour_of_arrival_at_scene,minute_of_arrival_at_scene,hour_of_ems_arrival_at_hospital,minute_of_ems_arrival_at_hospital,related_factors_crash_level_1,related_factors_crash_level_1_name,related_factors_crash_level_2,related_factors_crash_level_2_name,related_factors_crash_level_3,related_factors_crash_level_3_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,waktu_kategori,tipe_hari,nama_hari
30,Montana,300019,5,5,0,0,0,7,7,111,0,28,3,2015,7,14,58,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-90 W,,4318,45.65930833,-108.81318056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,6,Severe Crosswinds,7,"Blowing Sand, Soil, Dirt",6,Severe Crosswinds,No,0000000,15,30,15,50,16,45,0,None,0,None,0,None,1,0,2015-03-28 14:58:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
39,Ohio,390099,7,7,0,0,0,15,15,171,0,14,2,2015,7,11,19,1,1,Rural,1,Interstate,31,State Toll Road,1,Interstate,I-80,,154,41.60843056,-84.50735278,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,11,45,12,0,12,24,27,Backup Due to Prior Crash,0,None,0,None,1,0,2015-02-14 11:19:00+00:00,Pagi (06-11),Akhir Pekan,Sabtu
49,Utah,490123,16,16,0,0,0,28,28,45,0,14,4,2015,3,12,24,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-80,,684,40.75131944,-112.70495,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,12,28,12,52,99,99,0,None,0,None,0,None,1,0,2015-04-14 12:24:00+00:00,Siang (12-17),Hari Kerja,Selasa
48,Texas,481184,6,5,1,0,5,5,10,65,0,27,5,2015,4,16,40,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-40,,189,35.20758056,-101.30081111,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-05-27 16:40:00+00:00,Siang (12-17),Hari Kerja,Rabu
41,Oregon,410333,11,11,0,0,0,14,14,59,0,17,11,2015,3,18,17,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-84,,1910,45.75349167,-119.15018611,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,2,Dark – Not Lighted,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-11-17 18:17:00+00:00,Malam (18-23),Hari Kerja,Selasa
39,Ohio,390088,8,8,0,0,0,13,13,43,0,14,2,2015,7,11,30,1,1,Rural,1,Interstate,31,State Toll Road,1,Interstate,I-80,,185,41.32906111,-82.49277778,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,12,20,12,38,14,11,0,None,0,None,0,None,1,0,2015-02-14 11:30:00+00:00,Pagi (06-11),Akhir Pekan,Sabtu
39,Ohio,390096,31,31,0,0,0,49,49,117,0,14,2,2015,7,14,20,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-71,,18,40.37308056,-82.83103889,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,Yes,5,Entrance/Exit Ramp Related,Not an Intersection,None,1,On Roadway,1,Daylight,11,Blowing Snow,7,"Blowing Sand, Soil, Dirt",11,Blowing Snow,No,0000000,14,25,15,0,15,47,0,None,0,None,0,None,1,0,2015-02-14 14:20:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
42,Pennsylvania,420702,9,9,0,0,0,14,14,45,0,18,1,2015,1,7,30,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-476,,96,39.99123056,-75.34449444,0,No Special Jurisdiction (Includes National Forests Since 2008),25,Concrete Traffic Barrier,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,3,On Median,1,Daylight,10,Cloudy,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,2,0,2015-01-18 07:30:00+00:00,Pagi (06-11),Akhir Pekan,Minggu
39,Ohio,390126,29,29,0,0,0,50,50,97,0,14,2,2015,7,14,22,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-70,,124,39.96629167,-83.29733889,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,11,Blowing Snow,0,No Additional Atmospheric Conditions,11,Blowing Snow,No,0000000,14,38,15,0,15,43,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",0,None,0,None,1,0,2015-02-14 14:22:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
34,New Jersey,340244,19,19,0,0,0,24,24,23,704,9,2,2015,2,21,11,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-95,,260,40.34153056,-74.47778056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,2,On Shoulder,2,Dark – Not Lighted,3,"Sleet, Hail",12,Freezing Rain or Drizzle,3,"Sleet, Hail",No,0000000,21,22,21,41,22,3,0,None,0,None,0,None,1,0,2015-02-09 21:11:00+00:00,Malam (18-23),Hari Kerja,Senin
53,Washington,530404,7,7,0,0,0,20,20,5,0,10,10,2015,7,17,26,0,1,Rural,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-221,,171,46.18209722,-119.60088333,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,5,Dusk,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-10-10 17:26:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
20,Kansas,200060,5,5,0,0,0,5,5,205,0,25,3,2015,4,12,25,1,1,Rural,3,Principal Arterial – Other,1,State Highway Agency,2,U.S. Highway,US-400,,3571,37.61405278,-95.91568056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",No,0000000,12,26,12,35,13,2,0,None,0,None,0,None,1,0,2015-03-25 12:25:00+00:00,Siang (12-17),Hari Kerja,Rabu
8,Colorado,80197,8,8,0,0,0,14,14,99,0,10,6,2015,4,18,46,1,1,Rural,3,Principal Arterial – Other,1,State Highway Agency,2,U.S. Highway,US-287,,696,37.97134722,-102.61309722,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,2,0,2015-06-10 18:46:00+00:00,Malam (18-23),Hari Kerja,Rabu
51,Virginia,510171,7,7,0,0,0,7,7,127,0,11,3,2015,4,9,16,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-64,,2113,37.50558889,-77.09463611,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,9,18,9,24,10,20,0,None,0,None,0,None,1,0,2015-03-11 09:16:00+00:00,Pagi (06-11),Hari Kerja,Rabu
29,Missouri,290643,7,7,0,0,0,10,10,27,4192,27,10,2015,3,9,15,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-70,,170,38.94444444,-91.94508333,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,9,17,9,47,10,23,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",0,None,0,None,2,0,2015-10-27 09:15:00+00:00,Pagi (06-11),Hari Kerja,Selasa
26,Michigan,260662,5,5,0,0,0,7,7,111,0,3,10,2015,7,21,30,0,1,Rural,4,Minor Arterial,98,Not Reported,3,State Highway,SR-20 E ISABELLA RD,S MERIDAIN RD,101,43.61203611,-84.36922778,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,3,Intersection Related,Four-Way Intersection,None,1,On Roadway,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,1,2015-10-03 21:30:00+00:00,Malam (18-23),Akhir Pekan,Sabtu
49,Utah,490011,5,5,0,0,0,10,10,45,1940,2,2,2015,2,9,23,0,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,6,Local Street – Municipality,MAIN STREET,400 NORTH,0,40.53853611,-112.29841111,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,6,Angle,No,2,Intersection,Four-Way Intersection,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,9,35,9,51,10,14,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",20,Police-Pursuit-Involved (Since 1994),0,None,1,0,2015-02-02 09:23:00+00:00,Pagi (06-11),Hari Kerja,Senin
1,Alabama,10153,5,5,0,0,0,6,6,51,3270,6,4,2015,2,17,25,1,1,Rural,3,Principal Arterial – Other,1,State Highway Agency,2,U.S. Highway,US-SR 9,,0,32.47788056,-86.19813611,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,2,Front-to-Front,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,17,29,99,99,0,None,0,None,0,None,1,0,2015-04-06 17:25:00+00:00,Siang (12-17),Hari Kerja,Senin
53,Washington,530505,5,5,0,0,0,6,6,29,0,22,12,2015,3,9,7,0,1,Rural,3,Principal Arterial – Other,1,State Highway Agency,3,State Highway,SR-20,,375,48.35810278,-122.62163611,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,9,10,9,16,10,11,0,None,0,None,0,None,1,0,2015-12-22 09:07:00+00:00,Pagi (06-11),Hari Kerja,Selasa
10,Delaware,100079,6,6,0,0,0,7,7,3,490,2,10,2015,6,7,43,0,2,Urban,3,Principal Arterial – Other,1,State Highway Agency,2,U.S. Highway,US-13 S WALNUT ST,,6,39.72449444,-75.55581111,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,6,Angle,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,10,Cloudy,2,Rain,2,Rain,Yes,0000000,7,48,7,54,8,10,23,Indication of a Stalled/Disabled Vehicle (Since 2008),0,None,0,None,1,0,2015-10-02 07:43:00+00:00,Pagi (06-11),Hari Kerja,Jumat
26,Michigan,260898,7,7,0,0,0,8,8,115,0,2,9,2015,4,9,42,1,1,Rural,2,Principal Arterial – Other Freeways and Expressways,98,Not Reported,2,U.S. Highway,US-23,,223,42.03848333,-83.67256667,0,No Special Jurisdiction (Includes National Forests Since 2008),25,Concrete Traffic Barrier,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-09-02 09:42:00+00:00,Pagi (06-11),Hari Kerja,Rabu
42,Pennsylvania,420704,22,18,4,4,4,32,32,31,0,7,1,2015,4,13,41,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-80,,209,41.18058889,-79.33756667,0,No Special Jurisdiction (Includes National Forests Since 2008),14,Parked Motor Vehicle (Not In Transport),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,2,On Shoulder,1,Daylight,4,Snow,0,No Additional Atmospheric Conditions,4,Snow,No,0000000,14,9,14,17,14,47,19,Recent Previous Crash Scene Nearby (Since 1989),0,None,0,None,1,0,2015-01-07 13:41:00+00:00,Siang (12-17),Hari Kerja,Rabu
27,Minnesota,270035,8,8,0,0,0,8,8,171,0,3,3,2015,3,9,32,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-94,,1822,45.37647222,-93.99662222,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,4,Snow,0,No Additional Atmospheric Conditions,4,Snow,No,0000000,9,33,9,37,10,16,19,Recent Previous Crash Scene Nearby (Since 1989),0,None,0,None,1,0,2015-03-03 09:32:00+00:00,Pagi (06-11),Hari Kerja,Selasa
26,Michigan,260911,58,58,0,0,0,68,68,77,0,9,1,2015,6,9,15,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-94,,229,42.28026667,-85.33736111,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,Yes,18,Through Roadway,Not an Intersection,None,1,On Roadway,1,Daylight,4,Snow,11,Blowing Snow,4,Snow,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-01-09 09:15:00+00:00,Pagi (06-11),Hari Kerja,Jumat
35,New Mexico,350271,5,5,0,0,0,12,12,57,605,26,12,2015,7,16,47,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-40,,1970,35.00771389,-106.033325,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,2,Dark – Not Lighted,4,Snow,0,No Additional Atmospheric Conditions,4,Snow,No,0000000,99,99,99,99,99,99,27,Backup Due to Prior Crash,0,None,0,None,2,0,2015-12-26 16:47:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
56,Wyoming,560031,19,18,1,1,3,25,27,1,0,20,4,2015,2,7,45,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-80,,2923,41.43511111,-105.90449167,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,6,Angle,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,4,Snow,5,"Fog, Smog, Smoke",4,Snow,No,0000000,8,4,8,33,9,15,27,Backup Due to Prior Crash,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",0,None,2,0,2015-04-20 07:45:00+00:00,Pagi (06-11),Hari Kerja,Senin
19,Iowa,190031,6,6,0,0,0,7,7,33,0,25,2,2015,4,11,35,1,1,Rural,3,Principal Arterial – Other,1,State Highway Agency,2,U.S. Highway,US-18,,252,43.119125,-93.06301944,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,4,Snow,11,Blowing Snow,4,Snow,No,0000000,99,99,99,99,99,99,19,Recent Previous Crash Scene Nearby (Since 1989),0,None,0,None,1,0,2015-02-25 11:35:00+00:00,Pagi (06-11),Hari Kerja,Rabu
55,Wisconsin,550528,6,6,0,0,0,6,6,79,3100,15,4,2015,4,23,20,0,2,Urban,7,Local,4,City or Municipal Highway Agency,6,Local Street – Municipality,60TH ST N,CAPITOL DR W,0,43.08993889,-87.98692778,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,6,Angle,No,2,Intersection,Four-Way Intersection,None,1,On Roadway,3,Dark – Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,23,20,99,99,99,99,20,Police-Pursuit-Involved (Since 1994),0,None,0,None,1,0,2015-04-15 23:20:00+00:00,Malam (18-23),Hari Kerja,Rabu
12,Florida,121947,5,5,0,0,0,8,8,71,0,14,10,2015,4,21,29,0,2,Urban,7,Local,25,Other Local Agency,4,County Road,CR-884,,99998,26.61734722,-81.66823611,0,No Special Jurisdiction (Includes National Forests Since 2008),33,Curb,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,99,99,99,99,99,99,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",0,None,0,None,1,1,2015-10-14 21:29:00+00:00,Malam (18-23),Hari Kerja,Rabu
12,Florida,120958,5,5,0,0,0,6,6,103,2530,20,3,2015,6,12,38,0,2,Urban,7,Local,25,Other Local Agency,6,Local Street – Municipality,CR-296,82ND ST,99998,27.84644722,-82.72861667,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,3,Intersection Related,Four-Way Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-03-20 12:38:00+00:00,Siang (12-17),Hari Kerja,Jumat
48,Texas,480751,9,5,4,9,13,5,9,439,2450,12,4,2015,1,2,28,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-30 TOM LANDRY HWY,,176,32.75734444,-97.26446667,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,3,Dark – Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,2,42,2,55,3,28,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",19,Recent Previous Crash Scene Nearby (Since 1989),0,None,5,0,2015-04-12 02:28:00+00:00,Dini hari (00-05),Akhir Pekan,Minggu
36,New York,360823,6,6,0,0,0,7,7,119,2555,14,10,2015,4,6,50,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-684,,0,41.07934167,-73.718275,0,No Special Jurisdiction (Includes National Forests Since 2008),1,Rollover/Overturn,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,6,50,99,99,7,45,0,None,0,None,0,None,1,0,2015-10-14 06:50:00+00:00,Pagi (06-11),Hari Kerja,Rabu
48,Texas,481207,6,6,0,0,0,27,27,89,7290,3,6,2015,4,12,25,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-10,,49,29.69203611,-96.76747222,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,12,34,12,50,13,46,0,None,0,None,0,None,2,0,2015-06-03 12:25:00+00:00,Siang (12-17),Hari Kerja,Rabu
48,Texas,482369,7,7,0,0,0,9,9,397,6010,6,10,2015,3,19,8,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-30,,117,32.95087222,-96.36029722,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,19,11,19,19,19,47,0,None,0,None,0,None,1,0,2015-10-06 19:08:00+00:00,Malam (18-23),Hari Kerja,Selasa
13,Georgia,130251,6,6,0,0,0,7,7,143,0,16,3,2015,2,16,36,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-20,,16,33.80719167,-85.11696389,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,16,39,16,48,17,23,19,Recent Previous Crash Scene Nearby (Since 1989),0,None,0,None,1,1,2015-03-16 16:36:00+00:00,Siang (12-17),Hari Kerja,Senin
13,Georgia,130385,7,7,0,0,0,12,12,29,0,22,4,2015,4,5,50,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-16,,33,32.19536111,-81.47898333,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,2,Dark – Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,6,26,6,45,8,5,0,None,0,None,0,None,5,0,2015-04-22 05:50:00+00:00,Dini hari (00-05),Hari Kerja,Rabu
18,Indiana,180458,7,7,0,0,0,10,10,157,5200,23,7,2015,5,23,54,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-65,,1774,40.48363611,-86.85669167,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,2,Dark – Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,5,0,2015-07-23 23:54:00+00:00,Malam (18-23),Hari Kerja,Kamis
18,Indiana,180725,14,14,0,0,0,19,19,65,1280,13,11,2015,6,20,17,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-70,,1266,39.85264167,-85.356075,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,2,Dark – Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-11-13 20:17:00+00:00,Malam (18-23),Hari Kerja,Jumat
17,Illinois,170226,5,5,0,0,0,5,5,95,0,13,5,2015,4,12,3,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-74,,408,41.05166111,-90.33383333,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,12,3,99,99,99,99,3,Other Maintenance or Construction-Created Condition,0,None,0,None,2,0,2015-05-13 12:03:00+00:00,Siang (12-17),Hari Kerja,Rabu
21,Kentucky,210199,5,5,0,0,0,6,6,211,0,13,5,2015,4,14,16,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-64,,350,38.18480556,-85.21464167,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,14,17,14,21,15,17,0,None,0,None,0,None,1,0,2015-05-13 14:16:00+00:00,Siang (12-17),Hari Kerja,Rabu
21,Kentucky,210302,7,7,0,0,0,12,12,103,0,1,7,2015,4,13,0,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-71,,360,38.55183889,-85.20599722,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,13,7,13,21,14,0,3,Other Maintenance or Construction-Created Condition,0,None,0,None,1,0,2015-07-01 13:00:00+00:00,Siang (12-17),Hari Kerja,Rabu
21,Kentucky,210210,7,7,0,0,0,8,8,203,0,19,5,2015,3,12,39,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-75,,709,37.50642778,-84.32478056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,Construction,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,No,0000000,12,58,13,7,13,31,3,Other Maintenance or Construction-Created Condition,0,None,0,None,2,0,2015-05-19 12:39:00+00:00,Siang (12-17),Hari Kerja,Selasa
